result: 0.795 


Key: Tag1, Value: E28068940000401D6E135DC6
Key: Tag2, Value: E28068940000501D6E13EDC6
Key: Tag3, Value: E28068940000401D6E13B5C6
Key: Tag4, Value: E28068940000401D6E136DC6
Key: Tag5, Value: 000000000000000000001088
*SGo* -- Listen on :16311
RFID ready to run
RFID ready to run
--- 6
--- {E28068940000401D6E136DC6 17 1738680493774332 -57}
--- {E28068940000401D6E136DC6 17 1738680493785420 -57}
--- {E28068940000401D6E136DC6 17 1738680493820618 -56}
--- {E28068940000401D6E136DC6 17 1738680493830179 -56}
--- {E28068940000401D6E136DC6 17 1738680493866513 -56}
--- {E28068940000401D6E136DC6 17 1738680493875575 -56}
Antenna 17 active true
--- 168
--- {E28068940000401D6E136DC6 17 1738680493916954 -56}
--- {E28068940000401D6E136DC6 17 1738680493928628 -56}
--- {E28068940000401D6E136DC6 17 1738680493965050 -56}
--- {E28068940000401D6E136DC6 17 1738680493972506 -56}
--- {E28068940000401D6E136DC6 17 1738680494009666 -56}
--- {E28068940000401D6E136DC6 17 1738680494018000 -55}
--- {E28068940000401D6E136DC6 17 1738680494055173 -55}
--- {E28068940000401D6E136DC6 17 1738680494062205 -55}
--- {E28068940000401D6E136DC6 17 1738680494099005 -55}
--- {E28068940000401D6E136DC6 17 1738680494107927 -54}
--- {E28068940000401D6E136DC6 17 1738680494148064 -51}
--- {E28068940000401D6E136DC6 17 1738680494160724 -51}
--- {E28068940000401D6E136DC6 17 1738680494196790 -51}
--- {E28068940000401D6E136DC6 17 1738680494203626 -51}
--- {E28068940000401D6E136DC6 17 1738680494241568 -51}
--- {E28068940000401D6E136DC6 17 1738680494251737 -51}
--- {E28068940000401D6E136DC6 17 1738680494284291 -51}
--- {E28068940000401D6E136DC6 17 1738680494294103 -52}
--- {E28068940000401D6E136DC6 17 1738680494338334 -55}
--- {E28068940000401D6E136DC6 17 1738680494349285 -55}
--- {E28068940000401D6E136DC6 17 1738680494380729 -55}
--- {E28068940000401D6E136DC6 17 1738680494390000 -55}
--- {E28068940000401D6E136DC6 17 1738680494428838 -54}
--- {E28068940000401D6E136DC6 17 1738680494433781 -54}
--- {E28068940000401D6E136DC6 17 1738680494472570 -52}
--- {E28068940000401D6E136DC6 17 1738680494480142 -52}
--- {E28068940000401D6E136DC6 17 1738680494525547 -49}
--- {E28068940000401D6E136DC6 17 1738680494534032 -49}
--- {E28068940000401D6E136DC6 17 1738680494570170 -47}
--- {E28068940000401D6E136DC6 17 1738680494579742 -47}
--- {E28068940000401D6E136DC6 17 1738680494611929 -45}
--- {E28068940000401D6E136DC6 17 1738680494622166 -45}
--- {E28068940000401D6E136DC6 17 1738680494659271 -43}
--- {E28068940000401D6E136DC6 17 1738680494669292 -43}
--- {E28068940000401D6E136DC6 17 1738680494706299 -41}
--- {E28068940000401D6E136DC6 17 1738680494713674 -41}
--- {E28068940000401D6E136DC6 17 1738680494757381 -41}
--- {E28068940000401D6E136DC6 17 1738680494766712 -41}
--- {E28068940000401D6E136DC6 17 1738680494806361 -40}
--- {E28068940000401D6E136DC6 17 1738680494815036 -39}
--- {E28068940000401D6E136DC6 17 1738680494851478 -39}
--- {E28068940000401D6E136DC6 17 1738680494858309 -38}
--- {E28068940000401D6E136DC6 17 1738680494895669 -38}
--- {E28068940000401D6E136DC6 17 1738680494904283 -38}
--- {E28068940000401D6E136DC6 17 1738680494944408 -37}
--- {E28068940000401D6E136DC6 17 1738680494955713 -36}
--- {E28068940000401D6E136DC6 17 1738680494988913 -36}
--- {E28068940000401D6E136DC6 17 1738680494997761 -36}
--- {E28068940000401D6E136DC6 17 1738680495036702 -36}
--- {E28068940000401D6E136DC6 17 1738680495045662 -36}
--- {E28068940000401D6E136DC6 17 1738680495080251 -36}
--- {E28068940000401D6E136DC6 17 1738680495088509 -35}
--- {E28068940000401D6E136DC6 17 1738680495132884 -36}
--- {E28068940000401D6E136DC6 17 1738680495140236 -35}
--- {E28068940000401D6E136DC6 17 1738680495174429 -36}
--- {E28068940000401D6E136DC6 17 1738680495185996 -36}
--- {E28068940000401D6E136DC6 17 1738680495222228 -36}
--- {E28068940000401D6E136DC6 17 1738680495228486 -36}
--- {E28068940000401D6E136DC6 17 1738680495266594 -36}
--- {E28068940000401D6E136DC6 17 1738680495273034 -36}
--- {E28068940000401D6E136DC6 17 1738680495307690 -37}
--- {E28068940000401D6E136DC6 17 1738680495319281 -37}
--- {E28068940000401D6E136DC6 17 1738680495358835 -37}
--- {E28068940000401D6E136DC6 17 1738680495369744 -37}
--- {E28068940000401D6E136DC6 17 1738680495406781 -37}
--- {E28068940000401D6E136DC6 17 1738680495417008 -37}
--- {E28068940000401D6E136DC6 17 1738680495453961 -37}
--- {E28068940000401D6E136DC6 17 1738680495462360 -37}
--- {E28068940000401D6E136DC6 17 1738680495498942 -38}
--- {E28068940000401D6E136DC6 17 1738680495506903 -38}
--- {E28068940000401D6E136DC6 17 1738680495548408 -37}
--- {E28068940000401D6E136DC6 17 1738680495558012 -37}
--- {E28068940000401D6E136DC6 17 1738680495594849 -37}
--- {E28068940000401D6E136DC6 17 1738680495601312 -37}
--- {E28068940000401D6E136DC6 17 1738680495640396 -36}
--- {E28068940000401D6E136DC6 17 1738680495649318 -36}
--- {E28068940000401D6E136DC6 17 1738680495684536 -36}
--- {E28068940000401D6E136DC6 17 1738680495692797 -36}
--- {E28068940000401D6E136DC6 17 1738680495728238 -36}
--- {E28068940000401D6E136DC6 17 1738680495746222 -37}
--- {E28068940000401D6E136DC6 17 1738680495781569 -38}
--- {E28068940000401D6E136DC6 17 1738680495791328 -38}
--- {E28068940000401D6E136DC6 17 1738680495826930 -39}
--- {E28068940000401D6E136DC6 17 1738680495835614 -39}
--- {E28068940000401D6E136DC6 17 1738680495869172 -42}
--- {E28068940000401D6E136DC6 17 1738680495878390 -42}
--- {E28068940000401D6E136DC6 17 1738680495917151 -45}
--- {E28068940000401D6E136DC6 17 1738680495926030 -46}
--- {E28068940000401D6E136DC6 17 1738680495966527 -51}
--- {E28068940000401D6E136DC6 17 1738680495977661 -52}
--- {E28068940000401D6E136DC6 17 1738680496013070 -56}
--- {E28068940000401D6E136DC6 17 1738680497091392 -54}
--- {E28068940000401D6E136DC6 17 1738680497124133 -52}
--- {E28068940000401D6E136DC6 17 1738680497135184 -51}
--- {E28068940000401D6E136DC6 17 1738680497178456 -48}
--- {E28068940000401D6E136DC6 17 1738680497188633 -48}
--- {E28068940000401D6E136DC6 17 1738680497224994 -49}
--- {E28068940000401D6E136DC6 17 1738680497233858 -50}
--- {E28068940000401D6E136DC6 17 1738680497271629 -49}
--- {E28068940000401D6E136DC6 17 1738680497279667 -49}
--- {E28068940000401D6E136DC6 17 1738680497314454 -49}
--- {E28068940000401D6E136DC6 17 1738680497323267 -48}
--- {E28068940000401D6E136DC6 17 1738680497368532 -49}
--- {E28068940000401D6E136DC6 17 1738680497374271 -49}
--- {E28068940000401D6E136DC6 17 1738680497412428 -49}
--- {E28068940000401D6E136DC6 17 1738680497419644 -49}
--- {E28068940000401D6E136DC6 17 1738680497456407 -48}
--- {E28068940000401D6E136DC6 17 1738680497462739 -48}
--- {E28068940000401D6E136DC6 17 1738680497499781 -48}
--- {E28068940000401D6E136DC6 17 1738680497507194 -48}
--- {E28068940000401D6E136DC6 17 1738680497547270 -48}
--- {E28068940000401D6E136DC6 17 1738680497555435 -48}
--- {E28068940000401D6E136DC6 17 1738680497595746 -49}
--- {E28068940000401D6E136DC6 17 1738680497602530 -50}
