correct: 0.971 
antenna 1 stay longer 


Key: Tag1, Value: E28068940000401D6E135DC6
Key: Tag2, Value: E28068940000501D6E13EDC6
Key: Tag3, Value: E28068940000401D6E13B5C6
Key: Tag4, Value: E28068940000401D6E136DC6
Key: Tag5, Value: 000000000000000000001088
*SGo* -- Listen on :16311
--- 8
--- {E28068940000501D6E13EDC6 17 1740496783086225 -57}
--- {E28068940000501D6E13EDC6 17 1740496783094186 -56}
--- {E28068940000501D6E13EDC6 17 1740496783128956 -56}
--- {E28068940000501D6E13EDC6 17 1740496783136661 -56}
--- {E28068940000501D6E13EDC6 17 1740496783175675 -55}
--- {E28068940000501D6E13EDC6 17 1740496783180727 -55}
--- {E28068940000501D6E13EDC6 17 1740496783220348 -55}
--- {E28068940000501D6E13EDC6 17 1740496783227554 -55}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496783265705 -57}
--- {E28068940000501D6E13EDC6 17 1740496783271105 -57}
--- {E28068940000501D6E13EDC6 17 1740496783356804 -53}
--- {E28068940000501D6E13EDC6 17 1740496783361907 -53}
--- {E28068940000501D6E13EDC6 17 1740496783397455 -52}
--- {E28068940000501D6E13EDC6 17 1740496783411239 -53}
--- {E28068940000501D6E13EDC6 17 1740496783451598 -53}
--- {E28068940000501D6E13EDC6 17 1740496783459730 -53}
--- {E28068940000501D6E13EDC6 17 1740496783499285 -53}
--- {E28068940000501D6E13EDC6 17 1740496783504899 -53}
--- 8
--- {E28068940000501D6E13EDC6 17 1740496783542549 -52}
--- {E28068940000501D6E13EDC6 17 1740496783551480 -53}
--- {E28068940000501D6E13EDC6 17 1740496783588894 -56}
--- {E28068940000501D6E13EDC6 17 1740496783594244 -57}
--- {E28068940000501D6E13EDC6 17 1740496783632822 -58}
--- {E28068940000501D6E13EDC6 17 1740496783650947 -58}
--- {E28068940000501D6E13EDC6 17 1740496783731591 -59}
--- {E28068940000501D6E13EDC6 17 1740496783741264 -59}
--- 6
--- {E28068940000501D6E13EDC6 17 1740496786380703 -55}
--- {E28068940000501D6E13EDC6 17 1740496786390907 -54}
--- {E28068940000501D6E13EDC6 17 1740496786427377 -52}
--- {E28068940000501D6E13EDC6 17 1740496786432704 -51}
--- {E28068940000501D6E13EDC6 17 1740496786471841 -50}
--- {E28068940000501D6E13EDC6 17 1740496786478966 -50}
--- 11
--- {E28068940000501D6E13EDC6 17 1740496786524877 -48}
--- {E28068940000501D6E13EDC6 17 1740496786533162 -48}
--- {E28068940000501D6E13EDC6 17 1740496786569752 -47}
--- {E28068940000501D6E13EDC6 17 1740496786578423 -47}
--- {E28068940000501D6E13EDC6 17 1740496786615238 -46}
--- {E28068940000501D6E13EDC6 17 1740496786624661 -46}
--- {E28068940000501D6E13EDC6 17 1740496786658053 -45}
--- {E28068940000501D6E13EDC6 17 1740496786666442 -45}
--- {E28068940000501D6E13EDC6 17 1740496786711997 -44}
--- {E28068940000501D6E13EDC6 17 1740496786719145 -43}
--- {E28068940000501D6E13EDC6 17 1740496786756156 -43}
--- 11
--- {E28068940000501D6E13EDC6 17 1740496786766329 -43}
--- {E28068940000501D6E13EDC6 17 1740496786805497 -42}
--- {E28068940000501D6E13EDC6 17 1740496786813226 -42}
--- {E28068940000501D6E13EDC6 17 1740496786847336 -42}
--- {E28068940000501D6E13EDC6 17 1740496786856591 -42}
--- {E28068940000501D6E13EDC6 17 1740496786903433 -42}
--- {E28068940000501D6E13EDC6 17 1740496786911363 -42}
--- {E28068940000501D6E13EDC6 17 1740496786948042 -42}
--- {E28068940000501D6E13EDC6 17 1740496786958825 -42}
--- {E28068940000501D6E13EDC6 17 1740496786995691 -42}
--- {E28068940000501D6E13EDC6 17 1740496787001674 -42}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496787040806 -42}
--- {E28068940000501D6E13EDC6 17 1740496787046444 -43}
--- {E28068940000501D6E13EDC6 17 1740496787082817 -43}
--- {E28068940000501D6E13EDC6 17 1740496787090285 -43}
--- {E28068940000501D6E13EDC6 17 1740496787135422 -43}
--- {E28068940000501D6E13EDC6 17 1740496787143323 -43}
--- {E28068940000501D6E13EDC6 17 1740496787181576 -43}
--- {E28068940000501D6E13EDC6 17 1740496787191427 -44}
--- {E28068940000501D6E13EDC6 17 1740496787228221 -44}
--- {E28068940000501D6E13EDC6 17 1740496787235710 -44}
--- 10
--- {E28068940000501D6E13EDC6 17 1740496787273082 -45}
--- {E28068940000501D6E13EDC6 17 1740496787282076 -44}
--- {E28068940000501D6E13EDC6 17 1740496787329872 -45}
--- {E28068940000501D6E13EDC6 17 1740496787334869 -45}
--- {E28068940000501D6E13EDC6 17 1740496787372562 -45}
--- {E28068940000501D6E13EDC6 17 1740496787379703 -45}
--- {E28068940000501D6E13EDC6 17 1740496787416325 -45}
--- {E28068940000501D6E13EDC6 17 1740496787427369 -45}
--- {E28068940000501D6E13EDC6 17 1740496787463200 -46}
--- {E28068940000501D6E13EDC6 17 1740496787472792 -46}
--- 12
--- {E28068940000501D6E13EDC6 17 1740496787514093 -47}
--- {E28068940000501D6E13EDC6 17 1740496787524495 -47}
